ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;25;7;12:00;86
LEMD_DCL;25;7;13:00;95
LEMD_DCL;25;7;14:00;76
LEMD_DCL;25;7;15:00;48
LEMD_DCL;25;7;16:00;61
LEMD_DCL;25;7;17:00;71
LEMD_DCL;25;7;18:00;78
LEMD_DCL;25;7;19:00;73
LEMD_DCL;25;7;20:00;70
LEMD_DCL;25;7;21:00;50
LEMD_DCL;25;7;22:00;20
LEMD_DCL;25;7;23:00;5
LEMD_DCL;26;7;0:00;2
LEMD_DCL;26;7;1:00;2
LEMD_DCL;26;7;2:00;5
LEMD_DCL;26;7;3:00;16
LEMD_DCL;26;7;4:00;45
LEMD_DCL;26;7;5:00;72
LEMD_DCL;26;7;6:00;66
LEMD_DCL;26;7;7:00;74
LEMD_DCL;26;7;8:00;87
LEMD_DCL;26;7;9:00;81
LEMD_DCL;26;7;10:00;74
LEMD_DCL;26;7;11:00;67
LEMD_DCL;26;7;12:00;90
LEMD_DCL;26;7;13:00;91
LEMD_DCL;26;7;14:00;82
LEMD_DCL;26;7;15:00;49
LEMD_DCL;26;7;16:00;69
LEMD_DCL;26;7;17:00;67
LEMD_DCL;26;7;18:00;71
LEMD_DCL;26;7;19:00;68
LEMD_DCL;26;7;20:00;68
LEMD_DCL;26;7;21:00;48
LEMD_DCL;26;7;22:00;20
LEMD_DCL;26;7;23:00;3
LEMD_DCL;27;7;0:00;3
LEMD_DCL;27;7;1:00;2
LEMD_DCL;27;7;2:00;7
LEMD_DCL;27;7;3:00;9
LEMD_DCL;27;7;4:00;44
LEMD_DCL;27;7;5:00;61
LEMD_DCL;27;7;6:00;60
LEMD_DCL;27;7;7:00;70
LEMD_DCL;27;7;8:00;83
LEMD_DCL;27;7;9:00;71
LEMD_DCL;27;7;10:00;70
LEMD_DCL;27;7;11:00;66
LEMD_DCL;27;7;12:00;83
LEMD_DCL;27;7;13:00;94
LEMD_DCL;27;7;14:00;66
LEMD_DCL;27;7;15:00;40
LEMD_DCL;27;7;16:00;62
LEMD_DCL;27;7;17:00;57
LEMD_DCL;27;7;18:00;54
LEMD_DCL;27;7;19:00;61
LEMD_DCL;27;7;20:00;48
